# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.299385833740234375e+01 3.178628534078598022e-02 4.862801742553710938e+01 3.178628534078598022e-02 8.858977556228637695e-01
1.000000000000000000e+03 3.868950298056006432e-04 2.016564479845328606e-07 3.442518354859203100e-04 2.016564479845328606e-07 4.445158410817384720e-04
2.000000000000000000e+03 6.369066977640613914e-05 5.541691106003554523e-09 8.428957517025992274e-05 5.541691106003554523e-09 1.295178662985563278e-04
3.000000000000000000e+03 2.704288090171758085e-05 7.002018964641365528e-10 4.345710476627573371e-05 7.002018964641365528e-10 8.601302397437393665e-05
4.000000000000000000e+03 1.660760790400672704e-05 9.182971716370502691e-09 3.005789039889350533e-05 9.182971716370502691e-09 1.080826114048250020e-04
5.000000000000000000e+03 4.929892747895792127e-05 5.807798402202024590e-07 7.711067883064970374e-05 5.807798402202024590e-07 9.361832635477185249e-04
6.000000000000000000e+03 3.639689020928926766e-05 2.981246780109358951e-06 6.439357821363955736e-05 2.981246780109358951e-06 1.996523700654506683e-03
7.000000000000000000e+03 1.129750489781145006e-05 5.286921833658198011e-08 3.352844942128285766e-05 5.286921833658198011e-08 2.350982540519908071e-04
8.000000000000000000e+03 1.457986072637140751e-04 4.651047220249893144e-06 1.154077326646074653e-04 4.651047220249893144e-06 1.401993795298039913e-03
9.000000000000000000e+03 2.916180994361639023e-03 8.154154056683182716e-05 2.283600857481360435e-03 8.154154056683182716e-05 8.387629874050617218e-03
1.000000000000000000e+04 2.286222588736563921e-04 9.277162462240085006e-06 1.678418047958984971e-04 9.277162462240085006e-06 2.345569664612412453e-03
